record_id,name,place_type,place,place_normalised,wikidata_id,country,latitude,longitude
6,Abel de Pujol,birthplace,Valenciennes (Nord),Valenciennes,Q163795,France,50.359166666667,3.525
6,Abel de Pujol,deathplace,Paris,Paris,Q90,France,48.856944444444,2.3513888888889
7,Zéphirin Adam,birthplace,Dieppe (Seine-Maritime),Dieppe,Q183557,France,49.921666666667,1.0777777777778
7,Zéphirin Adam,deathplace,,,,,,
8,Lambert-Sigisbert Adam,birthplace,Nancy (Meurthe-et-Moselle),Nancy,Q40898,France,48.692777777778,6.1836111111111
8,Lambert-Sigisbert Adam,deathplace,Paris,Paris,Q90,France,48.856944444444,2.3513888888889
9,François Gaspard Adam,birthplace,Nancy (Meurthe-et-Moselle),Nancy,Q40898,France,48.692777777778,6.1836111111111
9,François Gaspard Adam,deathplace,Paris,Paris,Q90,France,48.856944444444,2.3513888888889
10,André Marius Auguste Aillaud,birthplace,Hanoï (Viet-Nam),Hanoi,Q1858,Vietnam,21.0245,105.84117
10,André Marius Auguste Aillaud,deathplace,Paris,Paris,Q90,France,48.856944444444,2.3513888888889
11,Camille Alaphilippe,birthplace,Tours (Indre et Loire),Tours,Q288,France,47.392777777778,0.68833333333333
11,Camille Alaphilippe,deathplace,Algérie,Constantine,Q187346,Algeria,36.365,6.6147222222222
12,Jean Alaux,birthplace,Bordeaux (Gironde),Bordeaux,Q1479,France,44.837777777778,-0.57944444444444
12,Jean Alaux,deathplace,Paris,Paris,Q90,France,48.856944444444,2.3513888888889
13,Jean-Baptiste Alizard,birthplace,Compiègne (Oise),Compiègne,Q180871,France,49.414166666667,2.8222222222222
13,Jean-Baptiste Alizard,deathplace,,,,,,
14,Allais,birthplace,,,,,,
14,Allais,deathplace,Paris,Paris,Q90,France,48.856944444444,2.3513888888889
15,André-Joseph Allar,birthplace,Toulon (Var),Toulon,Q44160,France,43.125,5.9305555555556
15,André-Joseph Allar,deathplace,Toulon (Var),Toulon,Q44160,France,43.125,5.9305555555556
16,Gabriel Allegrain,birthplace,Paris,Paris,Q90,France,48.856944444444,2.3513888888889
16,Gabriel Allegrain,deathplace,Rochefort (Charente-Maritime),Rochefort,Q207587,France,45.941944444444,-0.96694444444444
17,Jacques-François Amand,birthplace,Paris,Paris,Q90,France,48.856944444444,2.3513888888889
17,Jacques-François Amand,deathplace,Paris,Paris,Q90,France,48.856944444444,2.3513888888889
18,Paul Ambille,birthplace,Béziers (Hérault),Béziers,Q174019,France,43.343333333333,3.2161111111111
18,Paul Ambille,deathplace,Arette (Pyrénées atlantiques),Arette,Q856746,France,43.095555555556,-0.71666666666667
19,Gabriel-Auguste Ancelet,birthplace,Paris,Paris,Q90,France,48.856944444444,2.3513888888889
19,Gabriel-Auguste Ancelet,deathplace,Paris,Paris,Q90,France,48.856944444444,2.3513888888889
20,Pierre André,birthplace,Paris,Paris,Q90,France,48.856944444444,2.3513888888889
20,Pierre André,deathplace,Paris,Paris,Q90,France,48.856944444444,2.3513888888889
21,Louis-Jules André,birthplace,Paris,Paris,Q90,France,48.856944444444,2.3513888888889
21,Louis-Jules André,deathplace,Paris,Paris,Q90,France,48.856944444444,2.3513888888889
22,Albert Androt,birthplace,Paris,Paris,Q90,France,48.856944444444,2.3513888888889
22,Albert Androt,deathplace,Rome,Rome,Q220,Italy,41.893055555556,12.482777777778
23,Antoine,birthplace,,,,,,
23,Antoine,deathplace,,,,,,
24,Jacques Aparuit,birthplace,,,,,,
24,Jacques Aparuit,deathplace,Paris,Paris,Q90,France,48.856944444444,2.3513888888889
25,Claude-Germain Armand,birthplace,,,,,,
25,Claude-Germain Armand,deathplace,Paris,Paris,Q90,France,48.856944444444,2.3513888888889
26,Reynold Arnould,birthplace,Le Havre (Seine-Maritime),Le Havre,Q42810,France,49.494166666667,0.10805555555556
26,Reynold Arnould,deathplace,Paris,Paris,Q90,France,48.856944444444,2.3513888888889
27,Georges Arnulf,birthplace,Monte Carlo (Principauté de Monaco),Monte Carlo,Q45240,Monaco,43.738942,7.425237
27,Georges Arnulf,deathplace,Thillay (Ariège),Le Thillay,Q1623960,France,49.004722222222,2.4708333333333
28,Jean Asselbergs,birthplace,Roubaix (Nord),Roubaix,Q34001,France,50.69,3.1816666666667
28,Jean Asselbergs,deathplace,Villefranche-sur-mer,Villefranche-sur-Mer,Q207080,France,43.704166666667,7.3116666666667
29,Jean Aubain,birthplace,Bordeaux (Gironde),Bordeaux,Q1479,France,44.837777777778,-0.57944444444444
29,Jean Aubain,deathplace,,,,,,
30,Jean-Ernest Aubert,birthplace,Paris (12ème arrondissement),Paris,Q90,France,48.856944444444,2.3513888888889
30,Jean-Ernest Aubert,deathplace,Paris,Paris,Q90,France,48.856944444444,2.3513888888889
31,Tony Aubin,birthplace,Paris,Paris,Q90,France,48.856944444444,2.3513888888889
31,Tony Aubin,deathplace,Paris,Paris,Q90,France,48.856944444444,2.3513888888889
32,Jean Dominique Aubiné,birthplace,Ajaccio (Corse-du-Sud),Ajaccio,Q40104,France,41.925555555556,8.7363888888889
32,Jean Dominique Aubiné,deathplace,Caracas (Vénézuela),Caracas,Q1533,Venezuela,10.5,-66.933333333333
33,Étienne Aubry,birthplace,Versailles (Yvelines),Versailles,Q621,France,48.804722222222,2.1341666666667
33,Étienne Aubry,deathplace,Versailles (Yvelines),Versailles,Q621,France,48.804722222222,2.1341666666667
34,Émile Aubry,birthplace,Sétif (Algérie),Sétif,Q244004,Algeria,36.19,5.41
34,Émile Aubry,deathplace,Voutenay-sur-Cure (Yonne).,Voutenay-sur-Cure,Q1375877,France,47.561944444444,3.7847222222222
35,Alfred Audoul,birthplace,Lyon (Rhône),Lyon,Q456,France,45.758888888889,4.8413888888889
35,Alfred Audoul,deathplace,Paris,Paris,Q90,France,48.856944444444,2.3513888888889
36,Jules Robert Auguste,birthplace,Paris,Paris,Q90,France,48.856944444444,2.3513888888889
36,Jules Robert Auguste,deathplace,Paris,Paris,Q90,France,48.856944444444,2.3513888888889
37,Auvray,birthplace,,,,,,
37,Auvray,deathplace,,,,,,
38,Alexis Axilette,birthplace,Durtal (Maine et Loire),Durtal,Q819837,France,47.671944444444,-0.24138888888889
38,Alexis Axilette,deathplace,Durtal (Maine et Loire),Durtal,Q819837,France,47.671944444444,-0.24138888888889
39,Léon Azéma,birthplace,Alignan-du-Vent (Hérault),Alignan-du-Vent,Q176554,France,43.469722222222,3.3419444444444
39,Léon Azéma,deathplace,Épernay (Marne).,Épernay,Q205537,France,49.04,3.9591666666667
40,Louis-Antoine Baccarit,birthplace,Paris,Paris,Q90,France,48.856944444444,2.3513888888889
40,Louis-Antoine Baccarit,deathplace,,,,,,
41,Alfred Bachelet,birthplace,Paris,Paris,Q90,France,48.856944444444,2.3513888888889
41,Alfred Bachelet,deathplace,Nancy (Meurthe-et-Moselle),Nancy,Q40898,France,48.692777777778,6.1836111111111
42,Théodore Ballu,birthplace,Paris,Paris,Q90,France,48.856944444444,2.3513888888889
42,Théodore Ballu,deathplace,Paris,Paris,Q90,France,48.856944444444,2.3513888888889
43,Victor Baltard,birthplace,Paris,Paris,Q90,France,48.856944444444,2.3513888888889
43,Victor Baltard,deathplace,Paris,Paris,Q90,France,48.856944444444,2.3513888888889
44,Jean Barbault,birthplace,Viarmes (Val d’Oise),Viarmes,Q1624841,France,49.127777777778,2.3702777777778
44,Jean Barbault,deathplace,Rome (Italie),Rome,Q220,Italy,41.893055555556,12.482777777778
45,Auguste Barbereau,birthplace,Paris,Paris,Q90,France,48.856944444444,2.3513888888889
45,Auguste Barbereau,deathplace,Paris (IXe arrondissement),Paris,Q90,France,48.856944444444,2.3513888888889
46,William Barbotin,birthplace,Ars-en-Ré (Charente Maritime).,Ars-en-Ré,Q300000,France,46.207777777778,-1.5158333333333
46,William Barbotin,deathplace,Paris (XIII arrondissement).,Paris,Q90,France,48.856944444444,2.3513888888889
49,Jean Bardin,birthplace,Montbard (Côte d’Or),Montbard,Q209838,France,47.623055555556,4.3369444444444
49,Jean Bardin,deathplace,Orléans (Loiret),Orléans,Q6548,France,47.902222222222,1.9041666666667
50,André Barelier,birthplace,Plan-de-Cuques  (Bouches-du-Rhône) (note 1),Plan-de-Cuques,Q533703,France,43.346944444444,5.4630555555556
50,André Barelier,deathplace,,,,,,
51,Elsa Barraine,birthplace,Paris,Paris,Q90,France,48.856944444444,2.3513888888889
